NAMASTE Code,Traditional Term (AYUSH),ICD-11 TM2 Code,ICD-11 Biomedicine Code,Description
AYU-001,Amlapitta (Hyperacidity),TM2:1001,ICD11:2001,Hyperacidity as described in AYU traditional medicine.
AYU-002,Prameha (Diabetes),TM2:1002,ICD11:2002,Diabetes as described in AYU traditional medicine.
AYU-003,Arshas (Piles),TM2:1003,ICD11:2003,Piles as described in AYU traditional medicine.
AYU-004,Jwara (Fever),TM2:1004,ICD11:2004,Fever as described in AYU traditional medicine.
AYU-005,Kasa (Cough),TM2:1005,ICD11:2005,Cough as described in AYU traditional medicine.
AYU-006,Shotha (Inflammation),TM2:1006,ICD11:2006,Inflammation as described in AYU traditional medicine.
AYU-007,Hikka (Hiccups),TM2:1007,ICD11:2007,Hiccups as described in AYU traditional medicine.
AYU-008,Atisara (Diarrhea),TM2:1008,ICD11:2008,Diarrhea as described in AYU traditional medicine.
AYU-009,Grahaṇi (IBS),TM2:1009,ICD11:2009,IBS as described in AYU traditional medicine.
AYU-010,Pandu (Anemia),TM2:1010,ICD11:2010,Anemia as described in AYU traditional medicine.
AYU-011,Kamala (Jaundice),TM2:1011,ICD11:2011,Jaundice as described in AYU traditional medicine.
AYU-012,Shwasa (Asthma),TM2:1012,ICD11:2012,Asthma as described in AYU traditional medicine.
AYU-013,Raktapitta (Bleeding disorders),TM2:1013,ICD11:2013,Bleeding disorders as described in AYU traditional medicine.
AYU-014,Kustha (Skin disease),TM2:1014,ICD11:2014,Skin disease as described in AYU traditional medicine.
AYU-015,Apasmara (Epilepsy),TM2:1015,ICD11:2015,Epilepsy as described in AYU traditional medicine.
AYU-016,Medoroga (Obesity),TM2:1016,ICD11:2016,Obesity as described in AYU traditional medicine.
AYU-017,Ardita (Facial paralysis),TM2:1017,ICD11:2017,Facial paralysis as described in AYU traditional medicine.
AYU-018,Vatarakta (Gout),TM2:1018,ICD11:2018,Gout as described in AYU traditional medicine.
AYU-019,Udara Roga (Abdominal disorders),TM2:1019,ICD11:2019,Abdominal disorders as described in AYU traditional medicine.
AYU-020,Mutrakricchra (UTI),TM2:1020,ICD11:2020,UTI as described in AYU traditional medicine.
SID-021,Vatha Roga (Rheumatism),TM2:1021,ICD11:2021,Rheumatism as described in SID traditional medicine.
SID-022,Pitha Roga (Bile disorders),TM2:1022,ICD11:2022,Bile disorders as described in SID traditional medicine.
SID-023,Kabha Roga (Respiratory issues),TM2:1023,ICD11:2023,Respiratory issues as described in SID traditional medicine.
SID-024,Kirigai Noi (Epilepsy),TM2:1024,ICD11:2024,Epilepsy as described in SID traditional medicine.
SID-025,Kuttam (Skin Lesion),TM2:1025,ICD11:2025,Skin Lesion as described in SID traditional medicine.
SID-026,Kamaalai (Jaundice),TM2:1026,ICD11:2026,Jaundice as described in SID traditional medicine.
SID-027,Pandu Noi (Anemia),TM2:1027,ICD11:2027,Anemia as described in SID traditional medicine.
SID-028,Iya Noi (Asthma),TM2:1028,ICD11:2028,Asthma as described in SID traditional medicine.
SID-029,Muppini Noi (Geriatric disorders),TM2:1029,ICD11:2029,Geriatric disorders as described in SID traditional medicine.
SID-030,Siruneer Noi (Urinary disorders),TM2:1030,ICD11:2030,Urinary disorders as described in SID traditional medicine.
SID-031,Kaamalai (Liver disorders),TM2:1031,ICD11:2031,Liver disorders as described in SID traditional medicine.
SID-032,Madura Noi (Diabetes),TM2:1032,ICD11:2032,Diabetes as described in SID traditional medicine.
SID-033,Noi Mudhal (Cancer),TM2:1033,ICD11:2033,Cancer as described in SID traditional medicine.
SID-034,Kirani Noi (Eye disorders),TM2:1034,ICD11:2034,Eye disorders as described in SID traditional medicine.
SID-035,Kuttam Noi (Chronic ulcer),TM2:1035,ICD11:2035,Chronic ulcer as described in SID traditional medicine.
SID-036,Veri Noi (Viral fever),TM2:1036,ICD11:2036,Viral fever as described in SID traditional medicine.
SID-037,Soolai Noi (Abdominal colic),TM2:1037,ICD11:2037,Abdominal colic as described in SID traditional medicine.
SID-038,Suram Noi (Typhoid),TM2:1038,ICD11:2038,Typhoid as described in SID traditional medicine.
SID-039,Vettai Noi (Obesity),TM2:1039,ICD11:2039,Obesity as described in SID traditional medicine.
SID-040,Vatham Noi (Joint pain),TM2:1040,ICD11:2040,Joint pain as described in SID traditional medicine.
UNA-041,Nazla (Cold),TM2:1041,ICD11:2041,Cold as described in UNA traditional medicine.
UNA-042,Zukaam (Cough),TM2:1042,ICD11:2042,Cough as described in UNA traditional medicine.
UNA-043,Humma (Fever),TM2:1043,ICD11:2043,Fever as described in UNA traditional medicine.
UNA-044,Diyaq (Tuberculosis),TM2:1044,ICD11:2044,Tuberculosis as described in UNA traditional medicine.
UNA-045,Bars (Leucoderma),TM2:1045,ICD11:2045,Leucoderma as described in UNA traditional medicine.
UNA-046,Daul Madhi (Gonorrhea),TM2:1046,ICD11:2046,Gonorrhea as described in UNA traditional medicine.
UNA-047,Ishaal (Diarrhea),TM2:1047,ICD11:2047,Diarrhea as described in UNA traditional medicine.
UNA-048,Sauda (Melancholia),TM2:1048,ICD11:2048,Melancholia as described in UNA traditional medicine.
UNA-049,Yarqan (Jaundice),TM2:1049,ICD11:2049,Jaundice as described in UNA traditional medicine.
UNA-050,Hummas (Malaria),TM2:1050,ICD11:2050,Malaria as described in UNA traditional medicine.
UNA-051,Sartan (Cancer),TM2:1051,ICD11:2051,Cancer as described in UNA traditional medicine.
UNA-052,Sudda (Migraine),TM2:1052,ICD11:2052,Migraine as described in UNA traditional medicine.
UNA-053,Daul Khid (Syphilis),TM2:1053,ICD11:2053,Syphilis as described in UNA traditional medicine.
UNA-054,Shiqaq (Fissure),TM2:1054,ICD11:2054,Fissure as described in UNA traditional medicine.
UNA-055,Istisqa (Dropsy),TM2:1055,ICD11:2055,Dropsy as described in UNA traditional medicine.
UNA-056,Quwate Bah (Sexual weakness),TM2:1056,ICD11:2056,Sexual weakness as described in UNA traditional medicine.
UNA-057,Waj-ul-Mafasil (Arthritis),TM2:1057,ICD11:2057,Arthritis as described in UNA traditional medicine.
UNA-058,Warm-e-Kabid (Hepatitis),TM2:1058,ICD11:2058,Hepatitis as described in UNA traditional medicine.
UNA-059,Tashannuj (Convulsions),TM2:1059,ICD11:2059,Convulsions as described in UNA traditional medicine.
UNA-060,Sarataan (Tumor),TM2:1060,ICD11:2060,Tumor as described in UNA traditional medicine.
AYU-061,Amlapitta (Hyperacidity),TM2:1061,ICD11:2061,Hyperacidity as described in AYU traditional medicine.
AYU-062,Prameha (Diabetes),TM2:1062,ICD11:2062,Diabetes as described in AYU traditional medicine.
AYU-063,Arshas (Piles),TM2:1063,ICD11:2063,Piles as described in AYU traditional medicine.
AYU-064,Jwara (Fever),TM2:1064,ICD11:2064,Fever as described in AYU traditional medicine.
AYU-065,Kasa (Cough),TM2:1065,ICD11:2065,Cough as described in AYU traditional medicine.
AYU-066,Shotha (Inflammation),TM2:1066,ICD11:2066,Inflammation as described in AYU traditional medicine.
AYU-067,Hikka (Hiccups),TM2:1067,ICD11:2067,Hiccups as described in AYU traditional medicine.
AYU-068,Atisara (Diarrhea),TM2:1068,ICD11:2068,Diarrhea as described in AYU traditional medicine.
AYU-069,Grahaṇi (IBS),TM2:1069,ICD11:2069,IBS as described in AYU traditional medicine.
AYU-070,Pandu (Anemia),TM2:1070,ICD11:2070,Anemia as described in AYU traditional medicine.
AYU-071,Kamala (Jaundice),TM2:1071,ICD11:2071,Jaundice as described in AYU traditional medicine.
AYU-072,Shwasa (Asthma),TM2:1072,ICD11:2072,Asthma as described in AYU traditional medicine.
AYU-073,Raktapitta (Bleeding disorders),TM2:1073,ICD11:2073,Bleeding disorders as described in AYU traditional medicine.
AYU-074,Kustha (Skin disease),TM2:1074,ICD11:2074,Skin disease as described in AYU traditional medicine.
AYU-075,Apasmara (Epilepsy),TM2:1075,ICD11:2075,Epilepsy as described in AYU traditional medicine.
AYU-076,Medoroga (Obesity),TM2:1076,ICD11:2076,Obesity as described in AYU traditional medicine.
AYU-077,Ardita (Facial paralysis),TM2:1077,ICD11:2077,Facial paralysis as described in AYU traditional medicine.
AYU-078,Vatarakta (Gout),TM2:1078,ICD11:2078,Gout as described in AYU traditional medicine.
AYU-079,Udara Roga (Abdominal disorders),TM2:1079,ICD11:2079,Abdominal disorders as described in AYU traditional medicine.
AYU-080,Mutrakricchra (UTI),TM2:1080,ICD11:2080,UTI as described in AYU traditional medicine.
SID-081,Vatha Roga (Rheumatism),TM2:1081,ICD11:2081,Rheumatism as described in SID traditional medicine.
SID-082,Pitha Roga (Bile disorders),TM2:1082,ICD11:2082,Bile disorders as described in SID traditional medicine.
SID-083,Kabha Roga (Respiratory issues),TM2:1083,ICD11:2083,Respiratory issues as described in SID traditional medicine.
SID-084,Kirigai Noi (Epilepsy),TM2:1084,ICD11:2084,Epilepsy as described in SID traditional medicine.
SID-085,Kuttam (Skin Lesion),TM2:1085,ICD11:2085,Skin Lesion as described in SID traditional medicine.
SID-086,Kamaalai (Jaundice),TM2:1086,ICD11:2086,Jaundice as described in SID traditional medicine.
SID-087,Pandu Noi (Anemia),TM2:1087,ICD11:2087,Anemia as described in SID traditional medicine.
SID-088,Iya Noi (Asthma),TM2:1088,ICD11:2088,Asthma as described in SID traditional medicine.
SID-089,Muppini Noi (Geriatric disorders),TM2:1089,ICD11:2089,Geriatric disorders as described in SID traditional medicine.
